,Basvuru Yili,Cinsiyet,Dogum Yeri,Ikametgah Sehri,Universite Adi,Universite Turu,Burslu ise Burs Yuzdesi,Burs Aliyor mu?,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Sehir,Lise Turu,Lise Mezuniyet Notu,Baska Bir Kurumdan Burs Aliyor mu?,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Uye Oldugunuz Kulubun Ismi,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Spor Dalindaki Rolunuz Nedir?,Aktif olarak bir STK üyesi misiniz?,Stk Projesine Katildiniz Mi?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Girisimcilikle Ilgili Deneyiminizi Aciklayabilir misiniz?,Ingilizce Biliyor musunuz?,Ingilizce Seviyeniz?,yil,Yas
10,2023,1,20,21.0,44,0,0.0,0,1,3,0.0,21,1,5,0,0.0,0,0,0.0,1,3,0,0,1,3,1,0.0,0,1,1,0.0,2003,21.0
11,2023,2,65,78.0,99,1,0.0,1,2,3,0.0,25,1,5,0,4.0,1,1,4.0,1,2,1,0,0,0,1,0.0,1,1,1,0.0,2003,21.0
12,2023,1,52,21.0,151,0,0.0,0,2,1,0.0,21,1,5,0,4.0,1,1,4.0,1,2,1,0,1,2,0,0.0,0,1,1,0.0,2002,22.0
13,2023,2,44,6.0,55,0,0.0,0,1,2,0.0,6,1,5,1,4.0,1,2,4.0,1,1,1,0,1,3,1,0.0,0,1,1,0.0,2001,23.0
14,2023,1,77,78.0,188,0,0.0,0,2,3,0.0,78,1,5,0,1.0,0,0,2.0,1,2,0,0,0,0,0,0.0,1,1,1,0.0,2003,21.0
15,2023,1,44,5.0,60,0,0.0,0,3,2,0.0,45,5,5,0,4.0,1,1,4.0,1,2,1,0,1,3,0,0.0,0,1,1,0.0,1999,25.0
16,2023,2,44,66.0,138,0,0.0,0,3,2,0.0,45,1,5,0,0.0,0,0,1.0,0,0,0,0,0,0,1,0.0,0,1,0,0.0,1999,25.0
17,2023,2,36,30.0,61,0,0.0,0,2,3,0.0,37,1,5,1,1.0,0,0,0.0,0,0,1,0,0,0,0,0.0,0,1,1,0.0,2003,21.0
18,2023,2,77,78.0,92,1,0.0,1,3,3,0.0,78,1,5,1,4.0,0,0,0.0,1,2,0,0,0,0,1,0.0,1,1,1,0.0,2001,23.0
19,2023,2,5,5.0,13,0,0.0,0,4,1,0.0,5,5,5,0,1.0,0,0,4.0,0,0,1,0,0,0,1,0.0,0,1,1,0.0,2001,23.0
20,2023,1,29,30.0,157,0,0.0,0,3,1,0.0,30,5,5,0,0.0,0,0,2.0,0,0,1,0,1,3,0,0.0,0,1,0,0.0,2003,21.0
21,2023,1,45,46.0,93,0,0.0,0,4,2,0.0,46,1,5,1,1.0,0,0,2.0,1,3,0,0,0,0,0,0.0,0,1,1,0.0,2000,24.0
22,2023,2,5,5.0,12,1,0.0,1,3,1,0.0,5,1,5,0,4.0,0,0,0.0,1,2,1,0,0,0,0,0.0,0,1,1,0.0,2002,22.0
23,2023,1,32,33.0,46,0,0.0,0,4,3,0.0,33,1,5,0,0.0,0,0,1.0,0,0,0,0,0,0,0,0.0,0,1,1,0.0,2000,24.0
24,2023,2,28,79.0,47,0,0.0,0,4,3,0.0,29,1,5,1,0.0,0,0,0.0,1,2,1,0,0,0,1,0.0,0,1,1,0.0,2000,24.0
25,2023,1,29,30.0,130,0,0.0,0,1,2,0.0,30,1,2,1,2.0,1,2,0.0,0,0,0,0,0,3,0,0.0,0,1,1,0.0,2003,21.0
26,2023,2,29,30.0,87,0,0.0,0,2,1,0.0,30,5,5,1,0.0,0,0,1.0,1,3,0,0,0,0,0,0.0,0,1,0,0.0,2003,21.0
27,2023,2,77,78.0,153,0,0.0,0,2,1,0.0,78,1,5,1,2.0,0,0,2.0,1,2,1,0,1,3,1,0.0,0,1,1,0.0,2002,22.0
28,2023,1,14,34.0,133,0,0.0,0,3,2,0.0,34,1,2,0,1.0,0,0,1.0,0,0,0,0,1,3,1,0.0,0,1,1,0.0,2002,22.0
29,2023,2,51,67.0,139,0,0.0,0,2,3,0.0,23,1,5,0,0.0,0,0,1.0,0,0,1,0,0,0,1,0.0,0,1,1,0.0,1999,25.0
30,2023,2,77,78.0,178,1,0.0,0,2,1,0.0,78,1,5,0,2.0,0,0,0.0,1,2,0,0,0,0,1,0.0,0,1,0,0.0,2004,20.0
31,2023,1,77,78.0,158,1,0.0,1,4,2,0.0,78,1,5,1,0.0,0,0,4.0,1,1,0,0,0,0,1,0.0,1,1,1,0.0,2001,23.0
32,2023,2,77,78.0,100,0,0.0,0,2,1,0.0,78,5,5,1,1.0,1,2,2.0,1,3,0,0,0,0,0,0.0,0,1,1,0.0,2003,21.0
33,2023,1,10,51.0,109,0,0.0,0,2,3,0.0,51,1,5,0,1.0,0,0,2.0,1,3,0,0,1,2,1,0.0,0,1,0,0.0,2002,22.0
34,2023,1,32,33.0,6,0,0.0,0,0,0,0.0,33,1,5,0,1.0,0,0,1.0,1,3,1,0,0,0,1,0.0,0,1,1,0.0,2004,20.0
35,2023,2,58,59.0,162,0,0.0,0,4,2,0.0,59,1,2,1,0.0,0,0,2.0,0,0,0,0,0,0,1,0.0,0,1,0,0.0,2001,23.0
36,2023,2,77,78.0,187,0,0.0,0,4,3,0.0,78,1,5,1,0.0,0,0,0.0,1,2,0,0,0,0,1,0.0,0,1,1,0.0,2002,22.0
37,2023,1,60,5.0,117,0,0.0,0,1,0,0.0,61,1,5,1,4.0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,1,1,0.0,2003,21.0
38,2023,2,60,5.0,66,0,0.0,0,0,0,0.0,61,1,5,0,4.0,0,0,4.0,1,1,1,0,0,0,0,0.0,0,1,1,0.0,2002,22.0
39,2023,2,66,31.0,64,0,0.0,0,4,3,0.0,67,1,5,0,1.0,0,0,0.0,0,0,1,0,1,3,1,0.0,0,1,1,0.0,2001,23.0
40,2023,1,77,54.0,109,0,0.0,0,3,2,0.0,78,1,5,0,0.0,1,2,4.0,1,2,1,0,0,0,1,0.0,1,1,1,0.0,2002,22.0
41,2023,2,33,34.0,176,0,0.0,0,4,3,0.0,34,1,5,1,1.0,0,0,1.0,0,0,0,0,0,0,1,0.0,0,1,1,0.0,2001,23.0
42,2023,2,6,78.0,123,1,0.0,1,2,3,0.0,6,5,5,0,5.0,1,1,5.0,1,1,1,0,0,0,1,0.0,1,1,1,0.0,2004,20.0
43,2023,2,27,28.0,58,0,0.0,0,4,3,0.0,28,1,5,0,1.0,0,0,0.0,1,1,0,0,0,0,1,0.0,1,1,1,0.0,2001,23.0
44,2023,2,28,37.0,138,0,0.0,0,1,2,0.0,37,1,5,1,0.0,0,0,4.0,0,0,0,0,1,1,1,0.0,0,1,1,0.0,2004,20.0
45,2023,1,13,13.0,31,0,0.0,0,0,3,0.0,13,5,2,1,1.0,0,0,0.0,1,3,0,0,1,2,0,0.0,0,1,1,0.0,2002,22.0
46,2023,2,77,78.0,167,1,0.0,1,2,1,0.0,78,1,5,0,1.0,1,2,1.0,1,3,0,0,0,0,1,0.0,0,1,1,0.0,2000,24.0
47,2023,2,15,78.0,187,0,0.0,0,3,1,0.0,21,1,5,0,2.0,0,0,0.0,1,1,1,0,0,0,1,0.0,0,1,1,0.0,2003,21.0
48,2023,2,41,42.0,0,0,0.0,0,2,2,0.0,42,1,5,0,1.0,0,0,1.0,1,3,1,0,1,3,1,0.0,1,1,1,0.0,2003,21.0
49,2023,1,44,45.0,183,0,0.0,0,2,1,0.0,45,1,5,0,0.0,1,2,0.0,1,2,1,0,0,0,1,0.0,0,1,1,0.0,2003,21.0
50,2023,2,58,59.0,66,0,0.0,0,3,1,0.0,59,1,5,0,0.0,0,0,1.0,1,3,1,0,1,3,0,0.0,0,1,1,0.0,2003,21.0
51,2023,1,57,75.0,153,0,0.0,0,4,2,0.0,58,5,5,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,1,1,0.0,1999,25.0
52,2023,1,0,0.0,187,0,0.0,0,4,3,0.0,78,1,5,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0.0,0,1,1,0.0,2000,24.0
53,2023,1,5,78.0,92,1,0.0,1,2,3,0.0,53,1,5,1,0.0,0,0,0.0,1,1,0,0,1,4,1,0.0,1,1,1,0.0,2003,21.0
54,2023,2,77,78.0,38,1,0.0,1,4,1,0.0,78,1,5,0,2.0,0,0,0.0,1,3,0,0,1,3,1,0.0,1,1,1,0.0,2002,22.0
55,2023,1,49,50.0,183,0,0.0,0,1,0,0.0,50,1,5,1,0.0,1,2,1.0,1,3,1,0,1,4,1,0.0,1,1,1,0.0,2004,20.0
56,2023,1,64,65.0,22,0,0.0,0,3,3,0.0,65,1,5,1,0.0,0,0,2.0,1,2,1,0,1,3,1,0.0,0,1,1,0.0,2002,22.0
57,2023,2,5,5.0,126,0,0.0,0,2,1,0.0,5,1,5,1,1.0,0,0,0.0,1,2,1,0,0,0,0,0.0,0,1,1,0.0,2003,21.0
58,2023,2,21,78.0,187,0,0.0,0,3,1,0.0,22,1,5,0,2.0,0,0,1.0,1,3,1,0,0,0,1,0.0,1,1,1,0.0,2000,24.0
59,2023,2,79,80.0,6,0,0.0,0,3,3,0.0,80,1,5,1,0.0,0,0,0.0,0,0,1,0,0,0,0,0.0,0,1,0,0.0,2001,23.0
60,2023,2,22,23.0,11,0,0.0,0,3,3,0.0,23,1,5,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,2003,21.0
61,2023,1,4,78.0,167,1,0.0,1,1,0,0.0,78,5,2,0,0.0,0,0,0.0,1,3,0,0,1,3,0,0.0,1,1,1,0.0,2001,23.0
62,2023,2,77,78.0,166,1,0.0,0,1,0,0.0,78,1,5,1,2.0,0,0,1.0,0,0,0,0,0,0,0,0.0,1,1,1,0.0,2004,20.0
63,2023,1,73,78.0,183,0,0.0,0,1,0,0.0,74,1,5,1,0.0,0,0,4.0,1,1,1,0,1,3,1,0.0,1,1,1,0.0,2004,20.0
64,2023,2,0,0.0,105,0,0.0,0,1,3,0.0,0,1,5,1,1.0,1,3,1.0,0,0,1,0,0,0,0,0.0,0,1,0,0.0,2004,20.0
65,2023,1,20,21.0,117,0,0.0,0,3,1,0.0,21,1,5,1,0.0,1,2,4.0,1,2,1,0,1,4,1,0.0,1,1,1,0.0,2000,24.0
66,2023,2,43,78.0,48,1,0.0,1,4,2,0.0,72,5,5,1,0.0,1,1,0.0,1,2,1,0,1,1,1,0.0,1,1,1,0.0,2000,24.0
67,2023,1,41,79.0,47,0,0.0,0,2,2,0.0,42,1,5,1,4.0,0,0,0.0,1,1,1,0,0,0,0,0.0,0,1,1,0.0,2002,22.0
68,2023,2,77,78.0,168,1,0.0,1,4,2,0.0,78,1,5,1,0.0,0,0,1.0,1,1,1,0,0,0,1,0.0,0,1,0,0.0,2002,22.0
69,2023,2,77,78.0,177,1,0.0,1,2,1,0.0,78,1,5,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0.0,0,1,1,0.0,2003,21.0
70,2023,1,73,78.0,183,0,0.0,0,3,2,0.0,75,1,5,0,4.0,1,1,4.0,1,1,1,0,1,1,1,0.0,1,1,1,0.0,2001,23.0
71,2023,2,41,42.0,51,0,0.0,0,2,1,0.0,42,1,5,1,1.0,0,0,1.0,0,0,0,0,1,3,0,0.0,0,1,1,0.0,2004,20.0
72,2023,1,51,69.0,108,0,0.0,0,4,2,0.0,52,1,5,1,0.0,0,0,1.0,0,0,0,0,1,3,1,0.0,1,1,0,0.0,2002,22.0
73,2023,2,78,60.0,115,0,0.0,0,3,3,0.0,60,1,2,1,1.0,0,0,2.0,0,0,0,0,1,3,0,0.0,1,1,1,0.0,2002,22.0
74,2023,1,79,53.0,105,0,0.0,0,3,2,0.0,80,1,5,0,0.0,0,0,2.0,1,2,0,0,0,0,0,0.0,0,1,0,0.0,2000,24.0
75,2023,2,16,17.0,21,0,0.0,0,2,2,0.0,17,1,5,1,0.0,0,0,1.0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,2004,20.0
76,2023,2,1,1.0,3,0,0.0,0,2,1,0.0,1,1,5,0,1.0,0,0,1.0,0,0,0,0,1,3,0,0.0,0,1,0,0.0,2002,22.0
77,2023,1,65,78.0,41,0,0.0,0,4,2,0.0,78,1,5,0,4.0,1,1,4.0,0,0,0,0,1,2,1,0.0,1,1,1,0.0,2001,23.0
78,2023,1,77,78.0,63,0,0.0,0,2,1,0.0,78,5,5,0,1.0,0,0,2.0,0,0,0,0,0,0,0,0.0,0,1,1,0.0,2002,22.0
79,2023,2,33,34.0,163,0,0.0,0,4,2,0.0,34,5,5,1,2.0,0,0,0.0,1,2,0,0,0,0,1,0.0,0,1,0,0.0,2000,24.0
80,2023,2,33,30.0,111,0,0.0,0,1,0,0.0,30,5,5,0,4.0,0,0,4.0,1,1,1,0,0,0,0,0.0,0,1,1,0.0,2003,21.0
81,2023,1,70,31.0,64,0,0.0,0,4,3,0.0,71,1,5,1,0.0,0,0,1.0,0,0,1,0,1,2,1,0.0,1,1,1,0.0,2001,23.0
82,2023,2,51,78.0,189,1,0.0,1,2,3,0.0,78,1,5,0,1.0,0,0,0.0,1,2,0,0,0,0,1,0.0,0,1,1,0.0,2003,21.0
83,2023,2,17,78.0,153,0,0.0,0,2,1,0.0,78,5,5,0,1.0,0,0,1.0,0,0,1,0,0,0,1,0.0,0,1,0,0.0,2003,21.0
84,2023,2,62,63.0,78,0,0.0,0,2,3,0.0,63,1,5,1,0.0,0,0,0.0,1,3,0,0,0,0,1,0.0,0,1,1,0.0,2002,22.0
85,2023,2,36,37.0,0,0,0.0,0,0,0,0.0,37,5,5,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,1999,25.0
86,2023,2,1,1.0,100,0,0.0,0,3,3,0.0,1,1,5,0,1.0,0,0,4.0,0,0,1,0,0,0,0,0.0,0,1,1,0.0,2000,24.0
87,2023,2,3,3.0,111,0,0.0,0,2,3,0.0,3,5,5,1,1.0,0,0,1.0,1,1,0,0,1,3,1,0.0,0,1,0,0.0,2004,20.0
88,2023,2,5,5.0,29,0,0.0,0,3,1,0.0,5,1,5,1,1.0,0,0,1.0,1,3,0,0,1,3,0,0.0,1,1,1,0.0,2003,21.0
89,2023,2,11,21.0,85,0,0.0,0,4,2,0.0,21,1,5,1,1.0,0,0,1.0,1,1,1,0,0,0,0,0.0,1,1,1,0.0,2001,23.0
90,2023,1,77,78.0,123,1,0.0,0,1,0,0.0,78,1,5,0,4.0,0,0,0.0,1,2,1,0,1,3,1,0.0,1,1,1,0.0,2003,21.0
91,2023,1,80,81.0,69,0,0.0,0,4,2,0.0,81,1,5,1,1.0,0,0,1.0,0,0,1,0,1,3,0,0.0,0,1,1,0.0,1999,25.0
92,2023,1,78,79.0,28,0,0.0,0,3,2,0.0,79,1,5,0,0.0,0,0,1.0,1,2,0,0,1,3,0,0.0,0,1,1,0.0,2003,21.0
93,2023,1,69,5.0,17,0,0.0,0,3,3,0.0,79,1,5,1,2.0,0,0,0.0,1,3,0,0,0,0,1,0.0,0,1,1,0.0,2001,23.0
94,2023,1,77,78.0,113,1,0.0,1,2,1,0.0,78,1,2,0,2.0,0,0,1.0,1,2,0,0,0,0,0,0.0,1,1,0,0.0,2002,22.0
95,2023,1,0,0.0,105,0,0.0,0,2,3,0.0,0,1,5,1,0.0,0,0,2.0,1,3,0,0,0,0,0,0.0,0,1,0,0.0,2003,21.0
96,2023,2,77,78.0,48,1,0.0,1,4,3,0.0,78,1,5,0,2.0,0,0,2.0,1,2,1,0,1,3,1,0.0,1,1,1,0.0,2001,23.0
97,2023,2,77,78.0,41,0,0.0,0,2,1,0.0,78,1,5,1,4.0,1,1,0.0,0,0,0,0,1,3,1,0.0,0,1,1,0.0,2002,22.0
98,2023,2,68,26.0,108,0,0.0,0,1,2,0.0,26,1,5,0,0.0,1,2,2.0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,2004,20.0
99,2023,2,22,23.0,32,0,0.0,0,2,2,0.0,13,1,5,0,0.0,0,0,0.0,1,3,0,0,0,0,0,0.0,0,1,1,0.0,2002,22.0
100,2023,2,78,79.0,47,0,0.0,0,2,2,0.0,79,1,5,1,0.0,0,0,2.0,0,0,0,0,1,2,1,0.0,0,1,1,0.0,2002,22.0
101,2023,1,77,78.0,27,1,0.0,1,4,3,0.0,78,1,5,0,0.0,0,0,0.0,0,0,1,0,1,3,1,0.0,0,1,1,0.0,2001,23.0
102,2023,2,32,33.0,129,0,0.0,0,2,3,0.0,71,1,5,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,1,0.0,2003,21.0
103,2023,2,44,45.0,129,0,0.0,0,4,3,0.0,45,1,5,0,4.0,0,0,4.0,0,0,0,0,1,3,0,0.0,0,1,1,0.0,2001,23.0
104,2023,2,77,78.0,104,0,0.0,0,4,2,0.0,78,1,5,1,4.0,0,0,1.0,0,0,0,0,1,3,1,0.0,0,1,1,0.0,2000,24.0
105,2023,2,79,80.0,79,0,0.0,0,1,3,0.0,80,1,5,0,1.0,0,0,1.0,0,3,1,0,0,0,1,0.0,0,1,1,0.0,2003,21.0
106,2023,2,70,71.0,22,0,0.0,0,2,1,0.0,71,1,5,0,0.0,0,0,1.0,0,0,0,0,1,2,1,0.0,0,1,1,0.0,2003,21.0
107,2023,1,77,78.0,29,0,0.0,0,1,0,0.0,78,1,5,0,1.0,0,0,0.0,1,3,1,0,1,3,1,0.0,0,1,1,0.0,2003,21.0
108,2023,2,53,54.0,128,0,0.0,0,2,3,0.0,54,1,5,0,4.0,1,1,4.0,1,1,1,0,1,3,0,0.0,0,1,0,0.0,2003,21.0
109,2023,1,36,37.0,79,0,0.0,0,5,2,0.0,59,1,5,1,0.0,0,0,4.0,0,0,0,0,1,3,0,0.0,0,1,1,0.0,2001,23.0
110,2023,2,77,78.0,165,1,0.0,1,2,2,0.0,78,1,5,0,2.0,0,0,2.0,1,2,1,0,0,0,0,0.0,0,1,1,0.0,2002,22.0
111,2023,1,9,9.0,122,0,0.0,0,2,2,0.0,9,1,5,0,1.0,0,0,1.0,1,3,0,0,0,0,0,0.0,0,1,0,0.0,2002,22.0
112,2023,2,13,63.0,130,0,0.0,0,2,1,0.0,63,1,2,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,2001,23.0
113,2023,2,10,10.0,65,0,0.0,0,2,2,0.0,10,1,5,0,0.0,0,0,2.0,0,0,0,0,1,3,1,0.0,0,1,1,0.0,2004,20.0
114,2023,2,77,78.0,77,1,0.0,1,4,3,0.0,78,1,5,1,0.0,0,0,4.0,0,0,0,0,0,0,1,0.0,1,1,1,0.0,2001,23.0
115,2023,1,53,6.0,55,0,0.0,0,1,0,0.0,6,1,5,0,1.0,0,0,4.0,1,1,1,0,1,2,1,0.0,1,1,1,0.0,2004,20.0
116,2023,1,78,21.0,44,0,0.0,0,2,1,0.0,51,1,5,0,0.0,1,2,2.0,0,0,1,0,0,0,0,0.0,0,1,1,0.0,2002,22.0
117,2023,1,77,78.0,92,1,0.0,1,4,3,0.0,78,5,2,0,5.0,1,1,5.0,1,2,0,0,0,0,1,0.0,0,1,1,0.0,1998,26.0
118,2023,2,54,55.0,108,0,0.0,0,3,3,0.0,55,1,2,0,1.0,0,0,1.0,1,3,0,0,1,2,1,0.0,0,1,0,0.0,1999,25.0
119,2023,1,44,52.0,103,0,0.0,0,2,2,0.0,52,1,5,0,1.0,0,0,0.0,0,0,1,0,1,3,1,0.0,0,1,1,0.0,2003,21.0
120,2023,2,27,28.0,52,0,0.0,0,1,1,0.0,28,1,5,1,0.0,0,0,2.0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,2004,20.0
121,2023,2,22,78.0,188,0,0.0,0,2,2,0.0,78,1,5,0,2.0,0,0,1.0,0,0,0,0,0,0,1,0.0,1,1,1,0.0,2004,20.0
122,2023,2,65,78.0,41,0,0.0,0,1,0,0.0,66,1,5,0,0.0,0,0,4.0,1,2,1,0,1,3,1,0.0,1,1,1,0.0,2004,20.0
123,2023,2,45,78.0,151,0,0.0,0,3,1,0.0,46,1,5,1,1.0,0,0,0.0,1,2,1,0,1,1,0,0.0,0,1,1,0.0,2002,22.0
124,2023,2,77,78.0,151,0,0.0,0,1,0,0.0,78,1,5,0,0.0,1,3,1.0,1,3,0,0,0,0,1,0.0,0,1,1,0.0,2002,22.0
125,2023,1,61,78.0,101,1,0.0,1,1,0,0.0,78,1,5,1,1.0,0,0,4.0,0,0,0,0,1,3,0,0.0,1,1,1,0.0,2004,20.0
126,2023,1,14,34.0,58,0,0.0,0,2,1,0.0,34,1,5,0,4.0,0,0,0.0,0,0,1,0,0,0,1,0.0,1,1,1,0.0,2002,22.0
127,2023,2,38,5.0,136,1,0.0,1,2,2,0.0,39,1,5,1,1.0,0,0,4.0,1,1,1,0,0,0,0,0.0,0,1,1,0.0,2002,22.0
128,2023,2,78,79.0,193,0,0.0,0,3,3,0.0,79,1,5,0,1.0,1,3,1.0,0,0,0,0,0,0,0,0.0,0,1,1,0.0,2001,23.0
129,2023,1,49,78.0,77,1,0.0,1,4,3,0.0,6,5,5,0,4.0,1,2,0.0,1,2,1,0,0,0,0,0.0,1,1,1,0.0,2001,23.0
130,2023,2,13,13.0,22,0,0.0,0,3,3,0.0,13,1,5,0,0.0,0,0,2.0,0,0,0,0,0,0,0,0.0,0,1,1,0.0,1999,25.0
131,2023,1,76,77.0,116,0,0.0,0,2,2,0.0,58,1,5,1,2.0,1,2,2.0,0,0,0,0,1,3,0,0.0,0,1,1,0.0,2002,22.0
132,2023,1,78,79.0,28,0,0.0,0,2,3,0.0,79,1,5,0,1.0,0,0,1.0,1,3,0,0,0,0,1,0.0,1,1,1,0.0,2002,22.0
133,2023,2,77,78.0,49,0,0.0,0,2,3,0.0,78,1,5,1,4.0,0,0,4.0,1,1,1,0,0,0,1,0.0,0,1,1,0.0,2003,21.0
134,2023,1,48,49.0,18,0,0.0,0,3,3,0.0,49,1,5,0,0.0,0,0,0.0,1,1,0,0,1,4,1,0.0,0,1,0,0.0,2003,21.0
135,2023,2,47,20.0,42,0,0.0,0,3,3,0.0,35,5,5,0,2.0,0,0,4.0,1,1,0,0,0,0,1,0.0,1,1,1,0.0,2002,22.0
136,2023,1,78,79.0,91,0,0.0,0,2,3,0.0,79,1,5,0,1.0,0,0,1.0,0,0,1,0,1,3,1,0.0,0,1,1,0.0,2003,21.0
137,2023,2,77,78.0,41,0,0.0,0,2,3,0.0,78,5,5,0,0.0,0,0,0.0,1,3,1,0,1,1,1,0.0,0,1,1,0.0,2003,21.0
138,2023,2,20,21.0,109,0,0.0,0,4,3,0.0,21,1,5,0,0.0,0,3,0.0,1,3,1,0,1,3,1,0.0,0,1,1,0.0,2001,23.0
139,2023,2,27,51.0,102,0,0.0,0,3,3,0.0,29,1,5,0,4.0,1,1,4.0,1,1,0,0,1,3,1,0.0,1,1,1,0.0,2002,22.0
140,2023,2,77,78.0,125,0,0.0,0,3,2,0.0,78,1,5,0,0.0,0,0,2.0,1,3,1,0,0,0,1,0.0,0,1,1,0.0,2002,22.0
141,2023,1,36,37.0,49,0,0.0,0,3,2,0.0,37,1,2,0,0.0,0,0,1.0,0,0,1,0,0,0,0,0.0,0,1,1,0.0,2000,24.0
142,2023,2,1,50.0,108,0,0.0,0,3,3,0.0,50,1,2,1,1.0,0,0,1.0,0,0,0,0,1,3,0,0.0,0,1,1,0.0,2001,23.0
143,2023,2,16,17.0,162,0,0.0,0,2,3,0.0,17,1,5,1,1.0,0,0,2.0,1,1,0,0,1,3,0,0.0,0,1,1,0.0,2002,22.0
144,2023,2,21,78.0,179,1,0.0,1,1,0,0.0,22,5,5,1,1.0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,1,1,0.0,2002,22.0
145,2023,1,66,78.0,113,1,0.0,0,0,0,0.0,67,1,2,0,1.0,0,0,4.0,1,1,0,0,0,0,1,0.0,0,1,0,0.0,2003,21.0
146,2023,2,68,9.0,25,0,0.0,0,3,3,0.0,69,1,5,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,1,0.0,2002,22.0
147,2023,1,9,9.0,157,0,0.0,0,3,3,0.0,9,1,5,1,0.0,0,0,1.0,1,2,1,0,1,3,1,0.0,0,1,1,0.0,2002,22.0
148,2023,1,65,66.0,42,0,0.0,0,3,3,0.0,25,1,5,1,1.0,0,0,1.0,0,0,1,0,0,0,0,0.0,0,1,1,0.0,2002,22.0
149,2023,1,48,5.0,41,0,0.0,0,0,0,0.0,49,1,5,1,4.0,1,1,4.0,1,1,1,0,1,3,1,0.0,1,1,1,0.0,2003,21.0
150,2023,2,60,44.0,165,1,0.0,1,2,1,0.0,44,1,5,1,2.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,1,0.0,2002,22.0
